competitionCode,teamShortName,playerName,profileUrl,seasonMatches,seasonStarts,seasonMinutes,seasonTries,seasonYellowCards,seasonRedCards,contractEndDate,careerHistory
PROD2,AGE,Enzo DELFOSSE,https://www.allrugby.com/joueurs/enzo-delfosse-21229.html,,,,,,,,Entente Provençale De Manosque (2017 - 2020) | Provence Rugby (2021 - 2027)
PROD2,AGE,Jaz BARRES,https://www.allrugby.com/joueurs/jaz-barres-23021.html,,,,,,,2027-06-30,Montpellier Hérault Rugby (2023 - 2026) | Sporting Union Agenais (2026 - 2027)
PROD2,AGE,Deyan NEPVEUX,https://www.allrugby.com/joueurs/deyan-nepveux-22357.html,,,,,,,2027-06-30,Sporting Union Agenais (2015 - 2027)
PROD2,AGE,Iván FARACE,https://www.allrugby.com/joueurs/ivan-farace-17960.html,1,0,35,1,,,2027-06-30,Sporting Union Agenais (2024 - 2027)
PROD2,AGE,Maé RIVIÈRE,https://www.allrugby.com/joueurs/mae-riviere-21331.html,,,,,,,2027-06-30,Pessac (2016 - 2022) | Sporting Union Agenais (2022 - 2027)
PROD2,AGE,Mathéo ALLIER,https://www.allrugby.com/joueurs/matheo-allier-22490.html,,,,,,,,Rugby Club Nîmois (2019 - 2023) | Provence Rugby (2023 - 2027)
PROD2,AGE,Angelo PREVITALI,https://www.allrugby.com/joueurs/angelo-previtali-22358.html,,,,,,,2027-06-30,Sporting Union Agenais (2022 - 2027)
PROD2,AGE,Ben NEHRING,https://www.allrugby.com/joueurs/ben-nehring-15864.html,,,,,,,2027-06-30,Sporting Union Agenais (2023 - 2027)
PROD2,AGE,Camille GERMAIN,https://www.allrugby.com/joueurs/camille-germain-22356.html,,,,,,,2027-06-30,Sporting Union Agenais (2023 - 2027)
PROD2,AGE,Soane SUVE,https://www.allrugby.com/joueurs/soane-suve-13999.html,,,,,,,,Provence Rugby (2022 - 2025) | Stade Nantais (2025 - 2026)
PROD2,AGE,Arthur GARIOUB,https://www.allrugby.com/joueurs/arthur-garioub-21333.html,,,,,,,2027-06-30,Union Sportive Montalbanaise (2022 - 2024) | Sporting Union Agenais (2024 - 2027)
PROD2,AGE,Dewan DU PREEZ,https://www.allrugby.com/joueurs/dewan-du-preez-17908.html,,,,,,,2027-06-30,Rugby Travel Academy (2023 - 2024) | Sporting Union Agenais (2024 - 2027)
PROD2,AGE,Elliot CALVET,https://www.allrugby.com/joueurs/elliot-calvet-22327.html,,,,,,,2027-06-30,Sporting Union Agenais (2021 - 2027)
PROD2,AGE,Wesley MASIMA,https://www.allrugby.com/joueurs/wesley-masima-20044.html,,,,,,,,Istres Saint Mitre Les Remparts XV (2020 - 2023) | Provence Rugby (2023 - 2027)
PROD2,AGE,Johan BOUGRER,https://www.allrugby.com/joueurs/johan-bougrer-21334.html,,,,,,,2027-06-30,Sporting Union Agenais (2021 - 2027)
PROD2,AGE,Augustin MOLLET,https://www.allrugby.com/joueurs/augustin-mollet-21232.html,,,,,,,,RC Draguignan (2020 - 2021) | Provence Rugby (2021 - 2027)
PROD2,AGE,Clément CAILLETON,https://www.allrugby.com/joueurs/clement-cailleton-20630.html,,,,,,,,Aubagne (2024 - 2025) | CO Berre XV (2025 - 2026)
PROD2,AGE,Hugo LESAGE,https://www.allrugby.com/joueurs/hugo-lesage-20710.html,,,,,,,,Provence Rugby (2022 - 2025) | Nissa Rugby (2025 - 2026)
PROD2,AGE,Joris CAVAGLIERI,https://www.allrugby.com/joueurs/joris-cavaglieri-18082.html,,,,,,,,Provence Rugby (2015 - 2027)
PROD2,AGE,Paolo LARAN,https://www.allrugby.com/joueurs/paolo-laran-17655.html,,,,,,,2027-06-30,Tournefeuille (2021 - 2024) | Sporting Union Agenais (2024 - 2027)
PROD2,AGE,Paul LALBAT,https://www.allrugby.com/joueurs/paul-lalbat-21336.html,,,,,,,2027-06-30,Sporting Union Agenais (2016 - 2027)
PROD2,AGE,Jules CHACON,https://www.allrugby.com/joueurs/jules-chacon-14386.html,,,,,,,,Provence Rugby (2019 - 2024)
PROD2,AGE,Tom MÉNANTEAU,https://www.allrugby.com/joueurs/tom-menanteau-21337.html,,,,,,,2022-06-30,4 Cantons Bastides Haut Agenais Périgord (2019 - 2022) | Sporting Union Agenais (2022 - 2027)
PROD2,AGE,Auxence VIGNON,https://www.allrugby.com/joueurs/auxence-vignon-21338.html,,,,,,,2027-06-30,RC Montauban (2019 - 2023) | Sporting Union Agenais (2023 - 2027)
PROD2,AGE,Rémi BOUAFFOU,https://www.allrugby.com/joueurs/remi-bouaffou-13998.html,4,2,165,1,,,,FC Grenoble Rugby (2019 - 2022) | Provence Rugby (2022 - 2026) | Rennes Etudiants Club (2026 - 2027)
PROD2,AGE,Gabin ANDRIEUX,https://www.allrugby.com/joueurs/gabin-andrieux-22360.html,,,,,,,2027-06-30,Sporting Union Agenais (2023 - 2027)
PROD2,AGE,Jules FOURNIER,https://www.allrugby.com/joueurs/jules-fournier-22361.html,,,,,,,2027-06-30,Racing 92 (2015 - 2016) | Sporting Union Agenais (2016 - 2027)
PROD2,AGE,Thomas AMETLLA,https://www.allrugby.com/joueurs/thomas-ametlla-22504.html,,,,,,,,Provence Rugby (2023 - 2026) | Rugby Club Toulonnais (2026 - 2027)
PROD2,AGE,Kian RAYMOND,https://www.allrugby.com/joueurs/kian-raymond-18374.html,,,,,,,2027-06-30,Section Paloise Béarn Pyrénées (2024 - 2025) | Sporting Union Agenais (2025 - 2027)
PROD2,AGE,Tom MARINO,https://www.allrugby.com/joueurs/tom-marino-14971.html,3,1,93,,,,,CO Berre XV (2024 - 2026)
PROD2,AGE,Mylan SOSSÉ,https://www.allrugby.com/joueurs/mylan-sosse-18224.html,,,,,,,2027-06-30,Lyon Olympique Universitaire Rugby (2024 - 2025) | Sporting Union Agenais (2025 - 2027)
PROD2,AGE,Arthur DECHAUME,https://www.allrugby.com/joueurs/arthur-dechaume-21340.html,,,,,,,2027-06-30,Sporting Union Agenais (2022 - 2027)
PROD2,AGE,Cyprien KILEZTKY,https://www.allrugby.com/joueurs/cyprien-kileztky-18179.html,,,,,,,,Provence Rugby (2021 - 2027)
PROD2,AGE,Dylan CAZEMAJOU,https://www.allrugby.com/joueurs/dylan-cazemajou-18331.html,11,9,733,1,,,2027-06-30,RC Queyrannais (2018 - 2020) | Sporting Union Agenais (2020 - 2027)
PROD2,AGE,Gigi KURKHULI,https://www.allrugby.com/joueurs/gigi-kurkhuli-14001.html,2,0,23,,,,,Provence Rugby (2022 - 2024)
PROD2,AGE,Timéo GAYRAL,https://www.allrugby.com/joueurs/timeo-gayral-21339.html,,,,,,,2027-06-30,Sporting Union Agenais (2021 - 2027)
PROD2,AGE,Hendryk STEYN,https://www.allrugby.com/joueurs/jack-steyn-14545.html,,,,,,,,Provence Rugby (2023 - 2024) | Rennes Etudiants Club (2024 - 2025)
PROD2,AGE,Tom DELALAIN,https://www.allrugby.com/joueurs/tom-delalain-22326.html,,,,,,,2027-06-30,Union Sportive Montalbanaise (2018 - 2023) | Sporting Union Agenais (2023 - 2027)
PROD2,AGE,Arnaud DUPUTS,https://www.allrugby.com/joueurs/arnaud-duputs-4425.html,7,4,330,1,,,2027-06-30,Aviron Bayonnais (2010 - 2021) | Sporting Union Agenais (2021 - 2027)
PROD2,BRI,Christian JUDGE,https://www.allrugby.com/joueurs/christian-judge-7060.html,3,1,109,,,,2027-06-30,Saracens (2022 - 2024) | Association Sportive Béziers Hérault (2024 - 2026) | CA Brive Corrèze Limousin (2026 - 2027)
PROD2,BRI,Francisco CORIA MARCHETTI,https://www.allrugby.com/joueurs/francisco-coria-marchetti-8167.html,3,2,131,1,,,2027-06-30,CA Brive Corrèze Limousin (2020 - 2027)
PROD2,BRI,Alex BURIN,https://www.allrugby.com/joueurs/alex-burin-7289.html,24,17,1067,1,,,,Sporting Union Agenais (2017 - 2026) | Castres Olympique (2026 - 2027)
PROD2,BRI,Hugo REILHÈS,https://www.allrugby.com/joueurs/hugo-reilhes-9954.html,2,0,60,,,,2024-06-30,CA Brive Corrèze Limousin (2024 - 2024) | Stade Toulousain (2024 - 2025) | CA Brive Corrèze Limousin (2025 - 2027)
PROD2,BRI,John Henry FINCHAM,https://www.allrugby.com/joueurs/john-henry-fincham-8673.html,15,4,502,1,,,2027-06-30,Valence Romans Drôme Rugby (2023 - 2023) | Association Sportive Béziers Hérault (2023 - 2026) | CA Brive Corrèze Limousin (2026 - 2027)
